Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
ago/2022;28517.52;7714.29;83286.94;25.71;84499.18;1299910.96;0.00;735253.72;13624.43;657942.72;378627.69;3960.93;0.00;2319.45;0.00;872599.58;2090.11;11961.93;0.00;0.00;0.00;0.00;0.00;4182335.16
sep/2022;22099.26;9110.51;155992.58;13.10;41793.59;1077517.90;4983.86;421303.21;529.05;869579.64;551589.72;7431.40;0.00;3425.97;0.00;0.00;2264.37;863.08;0.00;0.00;0.00;0.00;0.00;3168497.23
oct/2022;22298.63;5157.50;57422.20;510.38;95299.93;980527.08;11260.59;717849.25;0.00;718920.20;529832.42;5039.05;0.00;2665.57;1.26;771601.46;1255.96;11141.07;0.00;0.00;0.00;0.00;0.00;3930782.55
nov/2022;22426.83;7548.75;155269.41;0.00;55258.65;1136760.55;9941.91;691237.42;0.00;754135.86;595870.42;9769.41;0.00;2338.28;43.09;684517.29;1431.00;15257.34;0.00;0.00;0.00;0.00;0.00;4141806.21
dic/2022;23211.02;8157.14;223806.31;13.00;60626.66;1082107.64;9888.12;671444.61;2335.55;841323.98;602458.30;8196.94;0.00;2710.39;380.64;275120.84;0.00;1843.78;0.00;0.00;0.00;0.00;0.00;3813624.91
ene/2023;25028.49;11654.23;132458.17;7.86;65808.97;1442099.08;45074.97;497780.69;0.00;909391.13;578792.14;2240.05;0.00;3247.22;6.32;0.00;215.00;4491.66;0.00;0.00;0.00;0.00;0.00;3718295.98
feb/2023;23565.09;16542.56;123451.93;152.00;154166.84;1267967.39;0.00;652984.71;24776.42;725101.20;685183.06;288.59;0.00;2439.59;248.44;870158.29;212.90;21630.09;0.00;0.00;0.00;0.00;0.00;4568869.10
mar/2023;30789.61;13751.26;149590.82;;66515.19;1317519.91;4985.21;711978.35;0.00;803262.67;633849.05;497.50;0.00;4212.34;330.59;249231.00;1474.00;12599.78;0.00;0.00;0.00;0.00;0.00;4000587.28
abr/2023;26953.86;28162.91;134010.55;86.43;123298.87;1417182.73;21503.98;647666.30;1840.46;922032.39;572201.36;386.21;0.00;1713.96;40.00;0.00;1811.06;19941.64;0.00;0.00;0.00;0.00;0.00;3918832.71
may/2023;31785.11;27251.87;234819.33;6.00;94150.63;1428099.62;15047.82;713348.99;0.00;947633.29;668478.73;623.67;0.00;2727.50;260.39;525292.80;621.00;16858.33;0.00;0.00;0.00;0.00;0.00;4707005.08
jun/2023;23463.06;24002.61;328622.59;84.53;71657.93;1278824.18;0.00;285817.78;353.12;831466.44;639685.80;452.32;0.00;2389.65;40.00;260737.00;403.00;6274.03;0.00;0.00;0.00;0.00;0.00;3754274.04
